Question number,Question,Entity,Table,Figure,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,Answer11,Answer12,Answer13,Answer14,Answer15,Answer16,Answer17,Answer18,Answer19,Answer20,Answer21,Answer22,Answer23,Answer24,Answer25,Answer26,Answer27,Answer28,Answer29,Answer30
1,What is the system architecture of Vehicle-to-Grid communication?,Vehicle-to-Grid communication,,"Figure 1 — Overview of [ISO-0] in the ISO/IEC OSI reference model
Figure 2 — [ISO-3] relationship to the ISO/IEC OSI reference model","[ISO-3] defines requirements applicable to layer 1 and layer 2, including V2G standardized service primitive interface, according to the OSI layered architecture. Layer 3 to layer 7 is specified in [ISO-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,What is HPGP?,"HPGP
HomePlug Green PHY",Table A.11 — Definition of electrical characteristics,,HPGP HomePlug Green PHY,This Clause defines the requirements that have to be fulfilled in order to inject HomePlug Green PHY signals into the control pilot line to enable bidirectional HomePlug Green PHY communication between one EVSE and one EV,"The HomePlug Green PHY signals on the control pilot line are compliant with [HPGP] except the signal coupling, signal levels, and carrier usage.","For the control pilot line, the additional capacity of the HomePlug Green PHY coupling circuit has to be considered. For the HomePlug Green PHY signal, the partitioning of the capacitive load of the EV, EVSE, and the charge cord is important and is detailed in this Clause.","All technical requirements described in this Clause are assumed to have a dedi- cated pair of HomePlug Green PHY chips implemented for the couple (EVSE, EV), linked by a control pilot wire. Figure A.10 depicts an implementation of parallel injection and gives definitions used further.","Table A.11 gives requirements that physical signals shall comply with, in order to enable HomePlug Green PHY injection into the control pilot line, according to previous requirements.",,,,,,,,,,,,,,,,,,,,,,,,
3,What is SLAC?,"SLAC
Signal Level Attenuation Characterization",Table A.1 — Timing and constant values,"Figure A.4 — Sequence chart of signal strength measurement
Figure A.11 — HomePlug Green PHY-Transmission path example with SLAC relevant 
attenuations and calculations",SLAC Signal Level Attenuation Characterization,protocol to measure the signal strength of a signal between HomePlug Green PHY stations,"By means of the signal strength measurement, the EV has to determine which counterpart EVSE nodes are available and which one is the right one to connect to. Therefore, the EVSE measures the attenuation of the signal coming from the EV for different groups of frequencies and reports the signal strength back to the EV. Based on the reports, the EV determines the EVSE which is connected in a direct way.",The signal strength measurement method to be used is the SLAC defined in the [HPGP].,[V2G3-A08-01] All low-layer communciation modules shall comply with Table A.1.,"[V2G3-A09-23] For the SLAC process, the low-layer communciation module shall use the set of MMEs defined in Figure A.1. The parameters to be used within the MMEs are defined in Table A.4.","[V2G3-A09-24] The Ethernet Destination MAC address field shall be filled either as Broadcast or Unicast, as defined in Table A.4.",,,,,,,,,,,,,,,,,,,,,,,
4,What is Logical Network?,Logical Network,Table 3 — Timing and constant values,Figure A.7 — Sequence chart of joining the logical network,set of low-layer communication stations which use the same network key,Note 1 to entry: Only members of the same logical network are able to exchange encrypted payload data and are visible for each other on higher layers. Different logical networks might exist on the same physical media at the same time and are typically used for network segmentation.,Different logical networks might exist on the same physical media at the same time and are typically used for network segmentation.,Note 2 to entry: A logical network is defined for layer 2.,"[V2G3-M09-19] In the following cases, the communication node shall leave the logical network within TP_match_leave. All parameters related to the current link shall be set to the default value and shall change to the status “Unmatched”.",[V2G3-M08-01] All low-layer communication devices shall comply with Table 3.,"[V2G3-A09-92] At any time an EVSE switches to a private logical network, the local NMK shall be set per random value to ensure a unique logical network. The configuration of the NMK on EVSE side shall be done with sending a CM_SLAC_MATCH.CNF MME or at anytime before.","[V2G3-A09-93] The NID of the logical network shall be derived from the NMK according to [HPGP], 4.4.3.1 using a security level value of 0b00.",,,,,,,,,,,,,,,,,,,,,,
5,What is CCo?,"Cco
Central Coordinator",,,CCo Central Coordinator,manager of a HomePlug Green PHY network,[V2G3-A06-02] The low-layer communication module on the EV side shall be configured in order to never become the CCo.,[V2G3-A06-03] The low-layer communication module on the EVSE side shall be configured in order to always be the CCo.,For the configuration of the CCo mode the APCM_SET_CCo.REQ primitive defined in Clause “Control SAP Service” of the [HPGP] may be used.,This Clause defines the requirements that have to be fulfilled in order to inject HomePlug Green PHY signals into the control pilot line to enable bidirectional HomePlug Green PHY communication between one EVSE and one EV.,,,,,,,,,,,,,,,,,,,,,,,,
6,What is the difference between Data SAP and Data link control SAP?,"Data SAP
Data link control SAP","Table 4 — D-LINK_READY.indication primitive
Table 5 — D-LINK_TERMINATE.request primitive
Table 6 — D-LINK_ERROR.request primitive
Table 7 — D-LINK_PAUSE.request primitive",Figure 2 — [ISO-3] relationship to the ISO/IEC OSI reference model,service access point that defines the interface between layer 2 and layer 3 for exchange of v2g-related payload,service access point which defines the interface between the connection coordination module and the low-layer communication technology for managing the link status,The data SAP is the ETH SAP. The ETH SAP is completely covered by the [HPGP].,"As shown in Figure 2, the definition of the data link layer provides the following two interfaces to higher layers.",— Data SAP is the interface between the communication technology and the layer 3 (e.g. IPv6).,"— The data link control SAP provides link status information, error information, control functionality and is located between the connection coordination and higher layers.","This SAP supports applications using Ethernet II-class packets, including IEEE 802.3 with or without IEEE 802.2 (LLC), IEEE 802.1H (SNAP) extensions, and/or VLAN tagging.","Due to the convergence layer, the data link layer of HomePlug Green PHY provides an Ethernet II-class SAP to higher layers.",The convergence layer adapts the generic HomePlug Green PHY MAC to an IEEE 802.3 Ethernet II-class interface through the ETH SAP.,,,,,,,,,,,,,,,,,,,,,
7,What is the difference between basic signalling and high-level communication?,"basic signalling
high-level communication",,,"[V2G3-M06-01] The basic signalling follows [IEC-1]. All timings shall be compliant with the [IEC-1], Annex A.","Any charging process, no matter the presence of high-level communication, uses the bidirectional signalling according to [IEC-1], indicating EV related information through control pilot states and EVSE related information through the duty cycle of the control pilot signal.",[V2G3-M06-02] The HLC shall be used in addition to the basic signalling in order to enable a bidi- rectional communication and offer additional features.,The sequence of the data exchange within the HLC-based charging session is done in accordance with the [ISO-2] communication protocol.,It can be split into three periods as follows:,— data link setup;,— V2G setup;,— V2G charging loop.,,,,,,,,,,,,,,,,,,,,,,
8,What is the difference between MTC and PTC?,"MTC
PTC","
Table 4 — Component definitions
Table 5 — Port type definitions",Figure 3 — ISO 15118-5 test configuration,MTC Main Test Component,parallel test component,MTC single test component in a test component configuration responsible for creating and controlling parallel test components and computing and assigning the test verdict,test component created by the main test component,"The MTC always contains a TTCN‐3 test configuration and delimits the lifeline during test execution. Next to using ports for communication purposes, local timers, variables or constants may be assigned to components to store dynamic information during test case execution.","The parallel test component (PTC) for IEC 61851‐1 signaling continuously observes the protocol specific parameters positive voltage (state), frequency, duty cycle and the proximity resistor value in accordance with the defined valid range of values (as defined in IEC 61851‐1:2017, Annex A), during the entire test case execution.",These components and ports compose relevant test configurations for this document. Whether the type EVCC_Tester or SECC_Tester is to be used as MTC depends on the type of the SUT.,"[V2G5-010] If the SUT is an SECC, the MTC shall use the type SECC_Tester.","The HAL_61851_Listener combines all necessary listener functionality into one component, independent on whether the MTC represents an SECC_Tester or an EVCC_Tester.",As shown in Figure 3 the port mappings are defined statically as follows:,— The port pt_SLAC_Port of the TSI is always mapped to port pt_SLAC_Port of the MTC.,— The port pt_HAL_61851_Port of the TSI is always mapped to port pt_HAL_61851_Port of the MTC.,— The port pt_HAL_61851_Listener_Port of the TSI is always mapped to port pt_HAL_61851_Listener_Port of the v_HAL_61851_Listener. The pt_HAL_61851_Listener_Port is from the same type HAL_61851_Port as the pt_HAL_61851_Port.,— The internal port pt_HAL_61851_Internal_Port is not mapped to the TSI. This port is connected between the MTC and PTC.,TSI TTCN‐3 System Interface,test component that provides a mapping of the ports available in the (abstract) TTCN‐3 test system to those offered by a real test system,"In addition to the MTC and PTC and their corresponding port type definitions, a test configuration also consists of respective Test System Interfaces (TSI). An abstract Test System Interface (TSI) is specified as a collection of ports. A TSI has no local timers, constants or variables. Only ports are assigned to it. During the test case execution test components ports can be mapped dynamically to the TSI ports to establish communication channel to the real test system interface. In the test configuration the TSI uses the type System_EVCC or System_SECC depending on the type of the SUT. If the SUT is an EVCC, the TSI uses the type System_EVCC. If the SUT is an SECC, the TSI uses the type System_SECC.",,,,,,,,,,,,,
9,What is ATS?,ATS,"Table 6 — PICS for test system configurations CF_05_001 and CF_05_002 (SUT either SECC or EVCC)
Table 7 — PICS for test system configuration CF_05_001 (SUT equals SECC)
Table 8 — PICS for test system configuration CF_05_002 (SUT equals EVCC)
Table 9 — Selected PIXIT for test system configurations CF_05_001 and CF_05_002 (SUT either SECC or EVCC)
Table 10 — Selected PIXIT for test system configuration CF_05_001 (SUT equals SECC)
Table 11 — Selected PIXIT for test system configuration CF_05_002 (SUT equals EVCC)
Table 27 — Requirements of ISO 15118-3 not considered in the ATS
Table 28 — Requirements of ISO 15118-3 implicitly covered by the SUT adapters / codecs
Table 29 — ATS coverage of requirements in ISO 15118-3",,Abstract Test Suite,test suite composed of abstract test cases,The capability tests within the ATS check that the observable capabilities of the SUT are in accordance with the static conformance requirements defined in ISO 15118‐3. The behavior tests of the ATS examine an implementation as thoroughly as is practical over the full range of dynamic conformance requirements defined in ISO 15118‐3 and within the capabilities of the SUT (see NOTE 1).,The following conditions apply in terms of test case coverage for this document regarding requirements defined in ISO 15118‐3:,— Requirements that are out of scope according to the conventions defined in this document or cannot be tested in black‐box tests are summarized in Table 27.,— Requirements that are not explicitly tested through a dedicated test case in the ATS but implicitly tested by the SUT Adapter/Codec are summarized in Table 28.,"The resulting test suite coverage in this document with reference to requirements in ISO 15118‐3 is summarized in Table 29. It only includes requirements which are not listed for exclusion in Table 27 or Table 28. Table 29 defines the relevance of requirements of ISO 15118‐3 for the ATS, based upon the type of SUT (EVCC or SECC), the authentication profile (EIM or PnC) and AC or DC charging. The following symbols are used in Table 29:",X Indicates requirements that are covered in the ATS with one or more test cases.,I Indicates requirements that are indirectly covered in the ATS but other than those listed in Table 29 can be directly associated to one or more test cases in the ATS.,P Indicates requirements that are only partially covered by one or more test cases in the ATS.,N Requirements that are not testable for the profile defined in the respective column.,‐ Requirements that are not applicable for the profile defined in the respective column.,O Requirements that are out of scope for the profile defined in the respective column.,Protocol Implementation Conformance Statement,"To evaluate the conformance of a particular implementation, it is necessary to have a statement of the capabilities and options which have been implemented, and any features which have been omitted, so that the implementation can be tested for conformance against relevant requirements, and against those requirements only. Such a statement is called a Protocol Implementation Conformance Statement (PICS) cf. [ITU‐T X.290].","All PICS defined in the ATS are summarized in Table 6, Table 7 and Table 8.",Protocol implementation extra information for testing,"In order to ensure testability of ISO 15118‐3 requirements depending on a specific behavior of the SUT, the following set of PIXIT is defined in addition to PICS in this document. PIXIT are used to indicate to the SUT that a specific capability of the SUT is tested.",,,,,,,,,,,,
10,What is TSS?,TSS,,Figure 2 — General overview of the Test Suite Structure (TSS),test suite structure,"A test suite is a complete set of test cases, possibly combined into groups or modules (e.g. for use cases or domains like AC, DC charging), that are necessary to perform conformance testing for a given SUT.","In each test case, the SUT is stimulated with specific inputs and the reactions are observed and evaluated. Depending on the test purpose different pre‐conditions and post‐conditions shall be considered for the formulation of the test behavior. The pre‐conditions, post‐conditions as well as test behaviors are encapsulated into individual functions and stored within separate modules. Thus, a complete test case is composed by the actual test behavior enveloped by pre‐ and post‐conditions (see 7.7.5 for details). The corresponding grouping of functions can therefore be assigned to the lowest abstract hierarchical level (see Figure 2). The test cases are defined on the second level.",This subclause defines test profiles for conformance with ISO 15118‐3. A test profile consists of a test configuration as well as a selection and assignment of PICS/PIXIT. Depending on the test configuration a set of test components and ports are defined. The test profile furthermore includes a test group defining the set of relevant test cases and the sequence in which they are executed in order to perform a conformance test for a given use case.,,,,,,,,,,,,,,,,,,,,,,,,,,
