id,name,type,description,human_readable_id,graph_embedding,text_unit_ids,description_embedding
c1c991eb4a97411eb3d036a31cac6f2f,IO_SAP,TECHNICAL_TERM,"An IO control path interface that handles hardware I/O control, such as control pilot duty cycle and the control pilot wire",0,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.01322075 -0.02212171 -0.00048924 ...  0.02517583  0.00632147
 -0.00020281]"
5d50bcf3d46d4778ae9c02df373727a7,INTER_SYSTEM_PROTOCOL,TECHNICAL_TERM,"A protocol that enables various broadband power line systems to share communication resources in time, frequency, or both",1,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.00860744 -0.00272107  0.00923576 ... -0.02832211 -0.00936413
 -0.02624119]"
91741f0c9864419ba6de55093a830cf0,LOGICAL_NETWORK,TECHNICAL_TERM,"LOGICAL_NETWORK is a network designed to enhance communication by utilizing low-layer communication technology. It comprises a set of low-layer communication stations that share the same network key, enabling encrypted data exchange and ensuring visibility among its members. This structure facilitates secure and efficient communication within the network.",2,,['709bb69a81ecc1f51a9d4420b7de6772' '96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.01708586  0.02329283  0.02354645 ... -0.02992695 -0.01757975
 -0.01336835]"
9b605578a3884c1dbe05bcf63f7044f5,LOW-LAYER_COMMUNICATION,TECHNICAL_TERM,Functions managed by the OSI layer 1 and layer 2 of the modem,3,,['709bb69a81ecc1f51a9d4420b7de6772'],"[ 0.00590793  0.01640242  0.01561692 ...  0.00610431 -0.02196753
 -0.01497786]"
bc91ac78fd434239b5c69ab16dac33f2,LOW-LAYER_COMMUNICATION_MODULE,TECHNICAL_TERM,"The LOW-LAYER_COMMUNICATION_MODULE is a functional assembly situated behind each socket outlet or connector. It includes the communication node and connection coordination functionality, making it responsible for low-layer communication and managing the logical network. This module plays a crucial role in ensuring seamless communication and coordination within the network infrastructure.",4,,['709bb69a81ecc1f51a9d4420b7de6772' '96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.00744005  0.02083215  0.00557663 ... -0.00479849 -0.01116008
 -0.03833334]"
67be291547ee4f52be4f562b41b7fb73,MAC_ADDRESS,TECHNICAL_TERM,A unique identifier assigned to network interfaces for communication on the data link layer,5,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.01727047  0.01000345 -0.00657323 ... -0.02307892 -0.01692196
 -0.00675071]"
29fdf7c0787b491cab5e2e457bf720af,MANAGEMENT_MESSAGE_ENTRY,TECHNICAL_TERM,Messages exchanged between PLC nodes or between a PLC node and higher layers for control purposes,6,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.01812578  0.00158702 -0.00613872 ... -0.01758552  0.0059834
 -0.04762408]"
f717ac89952f46ce94f36e6924f0c6b2,MATCHING,TECHNICAL_TERM,"The process to determine the low-layer communication modules of EV and EVSE, where EV is physically connected directly",7,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.00794236  0.0034564  -0.00219253 ... -0.01281314 -0.02078286
 -0.0190863 ]"
379326968ad34e9085fecf86cb71e5eb,NOMINAL_DUTY_CYCLE,TECHNICAL_TERM,"A control pilot duty cycle ranging from 10% to 96%, generated by the EVSE",8,,['709bb69a81ecc1f51a9d4420b7de6772'],"[ 0.00031019 -0.04030193 -0.00102281 ...  0.01162243  0.00211687
 -0.0196896 ]"
4063bbdbcb7a4269a4c344ed19611361,PILOT_FUNCTION_CONTROLLER,TECHNICAL_TERM,A system that manages the control pilot line on the EVSE side,9,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.00377637 -0.0258536  -0.00809222 ...  0.01586628 -0.00562651
 -0.01252565]"
